2986, 2819, 2660, 2511, 2314, 2237, 2112, 1993, 1881, 1776, 1676, 1582,
1493, 1409, 1330, 1256, 1185, 1119, 1056, 996, 941, 888, 838, 791,
747, 705, 665, 628, 593, 559, 528, 498, 470, 444, 419, 395,
373, 352, 333, 314, 296, 280, 264, 249, 235, 222, 209, 198,
187, 176, 166, 157, 148, 140, 132, 125, 118, 111, 105, 99,
93, 88, 83
